hour,steam_demand_tph,waste_heat_available_tph,fixed_electricity_mw,baseline_flexible_mw,solar_available_mw,grid_factor_tco2e_per_mwh,tariff_inr_per_mwh,flexible_min_mw,flexible_max_mw,biomass_max_tph,grid_max_mw
0,92,8,8.5,0,0,0.78,5200,0,0,65,22
1,88,8,8.2,0,0,0.76,5200,0,0,65,22
2,86,8,8,0,0,0.74,5200,0,0,65,22
3,84,8,8.1,0,0,0.72,5200,0,0,65,22
4,86,8,8.4,0,0,0.7,5200,0,0,65,22
5,92,10,9,0,0,0.68,5200,0,0,65,22
6,100,12,9.8,1,0.5,0.66,6800,0,2.5,65,22
7,110,15,10.5,1,2,0.64,6800,0,2.5,65,22
8,122,18,11.2,1.5,4,0.6,6800,0.5,2.5,65,22
9,132,20,11.8,1.5,6,0.56,6800,0.5,2.5,65,22
10,140,20,12.4,1.5,8,0.52,5600,0.5,2.5,65,22
11,146,20,12.8,1.5,9.5,0.48,5600,0.5,2.5,65,22
12,150,20,13,1.5,10,0.46,5600,0.5,2.5,65,22
13,148,20,13.2,1.5,9.5,0.45,5600,0.5,2.5,65,22
14,145,20,13,1.5,8.5,0.47,5600,0.5,2.5,65,22
15,142,18,12.7,1.5,7,0.5,5600,0.5,2.5,65,22
16,138,18,12.5,1.5,5,0.55,7200,0.5,2.5,65,22
17,134,16,12.2,1.5,3,0.62,7200,0.5,2.5,65,22
18,128,14,11.8,1,1,0.7,7200,0,2.5,65,22
19,120,12,11.5,0,0,0.78,8200,0,2.5,65,22
20,112,10,10.8,0,0,0.82,8200,0,2.5,65,22
21,106,10,10,0,0,0.84,8200,0,2.5,65,22
22,100,8,9.4,0,0,0.82,8200,0,2.5,65,22
23,96,8,8.9,0,0,0.8,6000,0,0,65,22
