hour,coal_steam_tph,biomass_steam_tph,gas_steam_tph,waste_heat_steam_tph,solar_used_mw,grid_import_mw,flexible_load_mw,emissions_tco2e,cost_inr,electricity_balance_error_mw,constraint_status,binding_constraints,steam_min,steam_max,coal_min,coal_max,bio_min,bio_max,gas_min,gas_max,waste_min,waste_available,solar_min,solar_available,grid_min,grid_max,flex_min,flex_max,coal_ramp,bio_ramp,gas_ramp,waste_ramp
0,60.0,24.0,0.0,8.0,0.0,8.5,0.0,32.658,171640.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.760000000000005,35.0,30.0,4.0,41.0,0.0,45.0,8.0,0.0,0.0,0.0,8.5,13.5,0.0,0.0,10.0,4.0,45.0,20.0
1,60.0,20.0,0.0,8.0,0.0,8.2,0.0,32.152,164140.0,0.0,PASS,steam_min; bio_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.6400000000000006,35.0,30.0,0.0,45.0,0.0,45.0,8.0,0.0,0.0,0.0,8.2,13.8,0.0,0.0,10.0,4.0,45.0,20.0
2,58.0,20.0,0.0,8.0,0.0,8.0,0.0,30.994,160040.0,0.0,PASS,steam_min; bio_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.5799999999999983,33.0,32.0,0.0,45.0,0.0,45.0,8.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,8.0,8.0,45.0,20.0
3,56.0,20.0,0.0,8.0,0.0,8.1,0.0,30.06,157500.0,0.0,PASS,steam_min; bio_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.519999999999996,31.0,34.0,0.0,45.0,0.0,45.0,8.0,0.0,0.0,0.0,8.1,13.9,0.0,0.0,8.0,8.0,45.0,20.0
4,56.0,22.0,0.0,8.0,0.0,8.4,0.0,30.162,162030.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.5799999999999983,31.0,34.0,2.0,43.0,0.0,45.0,8.0,0.0,0.0,0.0,8.4,13.6,0.0,0.0,10.0,6.0,45.0,20.0
5,56.0,26.0,0.0,10.0,0.0,9.0,0.0,30.509999999999998,171090.0,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.760000000000005,31.0,34.0,6.0,39.0,0.0,45.0,10.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,10.0,4.0,45.0,18.0
6,56.0,32.0,0.0,12.0,0.5,9.3,0.0,30.69,196440.0,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,3.0,31.0,34.0,12.0,33.0,0.0,45.0,12.0,0.0,0.5,0.0,9.3,12.7,0.0,2.5,10.0,2.0,45.0,18.0
7,61.584656084649126,33.415343915350874,0.0,15.0,2.0,8.5,0.0,32.39252380952105,201646.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,3.299999999999997,36.584656084649126,28.415343915350874,13.415343915350874,31.584656084649126,0.0,45.0,15.0,0.0,2.0,0.0,8.5,13.5,0.0,2.5,4.415343915350874,6.584656084649126,45.0,17.0
8,70.58465608464911,33.415343915350874,0.0,18.0,4.0,7.699999999999999,0.5,35.37952380952105,209976.30952380918,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,-1.4210854715202004e-14,3.660000000000011,45.58465608464911,19.41534391535089,13.415343915350874,31.584656084649126,0.0,45.0,18.0,0.0,4.0,0.0,7.699999999999999,14.3,0.0,2.0,1.0000000000000142,8.0,45.0,17.0
9,70.58465608464911,41.41534391535089,0.0,20.0,6.0,7.300000000000001,1.5,35.063523809521044,219136.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; bio_ramp,0.0,3.960000000000008,45.58465608464911,19.41534391535089,21.41534391535089,23.58465608464911,0.0,45.0,20.0,0.0,6.0,0.0,7.300000000000001,14.7,1.0,1.0,10.0,-1.4210854715202004e-14,45.0,18.0
10,70.58465608464911,49.41534391535089,0.0,20.0,8.0,6.9,2.5,34.779523809521045,220016.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max; bio_ramp,0.0,4.200000000000017,45.58465608464911,19.41534391535089,29.41534391535089,15.584656084649112,0.0,45.0,20.0,0.0,8.0,0.0,6.9,15.1,2.0,0.0,10.0,0.0,45.0,20.0
11,76.58465608464911,49.41534391535089,0.0,20.0,9.5,5.800000000000001,2.5,36.51352380952105,223036.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max,0.0,4.3799999999999955,51.58465608464911,13.415343915350888,29.41534391535089,15.584656084649112,0.0,45.0,20.0,0.0,9.5,0.0,5.800000000000001,16.2,2.0,0.0,4.0,8.0,45.0,20.0
12,76.58465608464911,53.415343915253494,0.0,20.0,10.0,5.5,2.5,36.36752380951842,227296.3095236646,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max,-9.740119821799453e-11,4.500000000097394,51.58465608464911,13.415343915350888,33.415343915253494,11.584656084746506,0.0,45.0,20.0,0.0,10.0,0.0,5.5,16.5,2.0,0.0,10.0,4.000000000097394,45.0,20.0
13,76.58465608464911,51.41534391535089,0.0,20.0,9.5,6.199999999999999,2.5,36.57352380952105,228246.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max,0.0,4.439999999999998,51.58465608464911,13.415343915350888,31.41534391535089,13.584656084649112,0.0,45.0,20.0,0.0,9.5,0.0,6.199999999999999,15.8,2.0,0.0,10.0,6.000000000097394,45.0,20.0
14,76.58465608464911,48.41534391535089,0.0,20.0,8.5,7.0,2.5,36.992523809521046,228271.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max,0.0,4.349999999999994,51.58465608464911,13.415343915350888,28.41534391535089,16.58465608464911,0.0,45.0,20.0,0.0,8.5,0.0,7.0,15.0,2.0,0.0,10.0,5.0,45.0,20.0
15,76.58465608464911,47.41534391535089,0.0,18.0,7.0,8.2,2.5,37.77552380952105,233506.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_max,0.0,4.259999999999991,51.58465608464911,13.415343915350888,27.41534391535089,17.58465608464911,0.0,45.0,18.0,0.0,7.0,0.0,8.2,13.8,2.0,0.0,10.0,7.0,45.0,18.0
16,76.58465608464911,43.41534391535089,0.0,18.0,5.0,8.0,0.5,37.96752380952105,239246.3095238092,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,4.140000000000015,51.58465608464911,13.415343915350888,23.41534391535089,21.58465608464911,0.0,45.0,18.0,0.0,5.0,0.0,8.0,14.0,0.0,2.0,10.0,4.0,45.0,20.0
