hour,coal_steam_tph,biomass_steam_tph,gas_steam_tph,waste_heat_steam_tph,solar_used_mw,grid_import_mw,flexible_load_mw,emissions_tco2e,cost_inr,electricity_balance_error_mw,constraint_status,binding_constraints,steam_min,steam_max,coal_min,coal_max,bio_min,bio_max,gas_min,gas_max,waste_min,waste_available,solar_min,solar_available,grid_min,grid_max,flex_min,flex_max,coal_ramp,bio_ramp,gas_ramp,waste_ramp
0,56.0000000106242,28.0,0.0,8.0,0.0,8.5,0.0,31.074000004494035,171460.000016255,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max; bio_ramp,1.06242055153416e-08,2.7599999893758067,31.0000000106242,33.9999999893758,8.0,37.0,0.0,45.0,8.0,0.0,0.0,0.0,8.5,13.5,0.0,0.0,6.000000010624198,0.0,45.0,20.0
1,46.0000000106242,33.9999999893758,0.0,8.0,0.0,8.2,0.0,26.60800000420718,163510.0000004781,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max; coal_ramp,0.0,2.6400000000000006,21.0000000106242,43.9999999893758,13.999999989375802,31.0000000106242,0.0,45.0,8.0,0.0,0.0,0.0,8.2,13.8,0.0,0.0,0.0,2.0000000106241984,45.0,20.0
2,43.687242824440574,34.312757175559426,0.0,8.0,0.0,8.0,0.0,25.32614815847847,159395.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.5799999999999983,18.687242824440574,46.312757175559426,14.312757175559426,30.687242824440574,0.0,45.0,8.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,7.6872428138163755,7.6872428138163755,45.0,20.0
3,41.687242824440574,34.312757175559426,0.0,8.0,0.0,8.1,0.0,24.39214815847847,156855.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.519999999999996,16.687242824440574,48.312757175559426,14.312757175559426,30.687242824440574,0.0,45.0,8.0,0.0,0.0,0.0,8.1,13.9,0.0,0.0,8.0,8.0,45.0,20.0
4,41.687242824440574,36.312757175559426,0.0,8.0,0.0,8.4,0.0,24.494148158478467,161385.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.5799999999999983,16.687242824440574,48.312757175559426,16.312757175559426,28.687242824440574,0.0,45.0,8.0,0.0,0.0,0.0,8.4,13.6,0.0,0.0,10.0,6.0,45.0,20.0
5,41.687242824440574,40.312757175559426,0.0,10.0,0.0,9.0,0.0,24.84214815847847,170445.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_min; solar_available; flex_min; flex_max,0.0,2.760000000000005,16.687242824440574,48.312757175559426,20.312757175559426,24.687242824440574,0.0,45.0,10.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,10.0,4.0,45.0,18.0
6,41.687242824440574,46.312757175559426,0.0,12.0,0.5,9.3,0.0,25.02214815847847,195795.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,3.0,16.687242824440574,48.312757175559426,26.312757175559426,18.687242824440574,0.0,45.0,12.0,0.0,0.5,0.0,9.3,12.7,0.0,2.5,10.0,2.0,45.0,18.0
7,48.68724282444057,46.31275717555943,0.0,15.0,2.0,8.5,0.0,27.285148158478464,201065.9259270998,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,3.3000000000000043,23.687242824440567,41.31275717555943,26.312757175559433,18.687242824440567,0.0,45.0,15.0,0.0,2.0,0.0,8.5,13.5,0.0,2.5,3.000000000000007,7.999999999999993,45.0,17.0
8,57.68724282444057,46.31275717555943,0.0,18.0,4.0,7.699999999999999,0.5,30.272148158478462,209395.9259270998,0.0,PASS,steam_min; gas_min; waste_available; solar_available; flex_min,0.0,3.6599999999999895,32.68724282444057,32.31275717555943,26.312757175559433,18.687242824440567,0.0,45.0,18.0,0.0,4.0,0.0,7.699999999999999,14.3,0.0,2.0,1.0,8.0,45.0,17.0
9,65.68724282444057,46.31275717555943,0.0,20.0,6.0,7.300000000000001,1.5,33.12414815847847,218915.92592709983,0.0,PASS,steam_min; gas_min; waste_available; solar_available,0.0,3.960000000000001,40.687242824440574,24.312757175559426,26.312757175559433,18.687242824440567,0.0,45.0,20.0,0.0,6.0,0.0,7.300000000000001,14.7,1.0,1.0,1.999999999999993,8.0,45.0,18.0
